"region","constituency_name","cpp","ndp","ndc","ppp","npp","pnc","ind","total_valid_votes","rejected_ballots","total_votes_cast"
"WESTERN","JOMORO",1271,312,21539,982,22423,52,55,46634,1747,48381
"WESTERN","ELLEMBELE",128,34,22716,516,21482,36,17,44929,601,45530
"WESTERN","EVALUE - AJOMORO - GWIRA",81,316,13173,319,12412,28,17,26346,940,27286
"WESTERN","AHANTA WEST",127,41,13693,659,30262,69,30,44881,526,45407
"WESTERN","TAKORADI",41,12,11264,489,27350,11,16,39183,233,39416
"WESTERN","EFFIA",55,10,10621,446,21213,355,5,32705,182,32887
"WESTERN","KWESIMINTSIM",56,20,8816,521,22032,6,5,31456,293,31749
"WESTERN","SEKONDI",30,13,9787,408,18039,13,8,28298,185,28483
"WESTERN","ESSIKADU-KETAN",79,17,12530,675,27162,24,29,40516,570,41086
"WESTERN","SHAMA",90,24,15461,1652,20268,24,19,37538,673,38211
"WESTERN","WASSA EAST",70,28,17774,604,15742,49,60,34327,834,35161
"WESTERN","MPOHOR",89,24,6470,907,9474,22,23,17009,413,17422
"WESTERN","TARKWA NSUAEM",114,31,23379,1865,42850,28,24,68291,741,69032
"WESTERN","PRESTEA HUNI-VALLEY",84,374,34876,1264,33327,48,50,70023,1304,71327
"WESTERN","AMENFI EAST",85,44,21497,465,26936,66,21,49114,872,49986
"WESTERN","AMENFI CENTRAL",96,50,18935,443,15930,45,32,35531,875,36406
"WESTERN","AMENFI WEST",74,36,23407,478,17309,47,27,41378,963,42341
"WESTERN","AOWIN",71,39,23394,652,19600,52,39,43847,1252,45099
"WESTERN","SUAMAN",24,11,7651,197,4822,28,8,12741,388,13129
"WESTERN","BIBIANI-ANHWIASO-BEKWAI",65,51,26473,663,36404,68,19,63743,1081,64824
"WESTERN","SEFWI WIAWSO",50,35,29149,356,28911,59,17,58577,1338,59915
"WESTERN","SEFWI AKONTOMBRA",51,30,14879,164,11989,65,156,27334,855,28189
"WESTERN","JUABOSO",81,124,18644,291,13659,33,19,32851,1087,33938
"WESTERN","BODI",43,23,14867,199,8879,19,11,24041,752,24793
"WESTERN","BIA WEST",68,48,23944,334,12434,47,17,36892,1165,38057
"WESTERN","BIA EAST",73,28,10899,94,5250,22,9,16375,493,16868
"CENTRAL","KEEA",543,62,24087,11644,20024,51,45,56456,1930,58386
"CENTRAL","CAPE COAST SOUTH",51,15,19449,630,20977,14,11,41147,327,41474
"CENTRAL","CAPE COAST NORTH",57,63,16998,1492,20360,19,8,38997,435,39432
"CENTRAL","ABURA/ASEBU/KWAMANKESE",80,39,21456,1181,20927,48,25,43756,701,44457
"CENTRAL","MFANTSEMAN",216,44,25679,2480,28267,48,38,56772,1197,57969
"CENTRAL","EKUMFI",80,23,13244,603,10229,29,41,24249,569,24818
"CENTRAL","AJUMAKO ENYAN ESIAM",66,48,23185,423,23865,34,22,47643,725,48368
"CENTRAL","GOMOA WEST",198,43,21041,1324,23196,65,55,45922,875,46797
"CENTRAL","GOMOA CENTRAL",60,101,12788,297,14091,19,9,27365,393,27758
"CENTRAL","GOMOA EAST",66,38,16227,352,18508,31,43,35265,473,35738
"CENTRAL","EFFUTU",98,19,13643,1027,22144,27,18,36976,480,37456
"CENTRAL","AWUTU SENYA WEST",99,151,24845,406,28874,38,13,54426,908,55334
"CENTRAL","AWUTU SENYA EAST",48,30,25153,339,33823,18,5,59416,153,59569
"CENTRAL","AGONA WEST",87,135,22208,503,32142,35,18,55128,832,55960
"CENTRAL","AGONA EAST",92,191,17681,280,19911,40,17,38212,935,39147
"CENTRAL","ASIKUMA/ODOBEN/BRAKWA",94,43,20617,377,25798,68,26,47023,1093,48116
"CENTRAL","ASSIN CENTRAL",51,18,10019,200,18368,14,11,28681,329,29010
"CENTRAL","ASSIN NORTH",115,181,12266,427,14143,37,20,27189,789,27978
"CENTRAL","ASSIN SOUTH",126,171,14031,318,24517,36,31,39230,698,39928
"CENTRAL","TWIFO ATI MORKWAA",69,28,16393,442,19274,49,27,36282,723,37005
"CENTRAL","HEMANG LOWER DENKYIRA",48,15,10185,397,14919,24,14,25602,422,26024
"CENTRAL","UPPER DENKYIRA EAST",162,195,14037,379,25243,28,13,40057,560,40617
"CENTRAL","UPPER DENKYIRA WEST",35,17,10030,216,17068,28,19,27413,428,27841
"GREATER ACCRA","BORTIANOR-NGLESHIE AMANFRO",61,23,22223,399,25479,25,15,48225,620,48845
"GREATER ACCRA","WEIJA / GBAWE",28,39,22398,420,36803,10,9,59707,354,60061
"GREATER ACCRA","DOMEABRA/OBOM",61,278,16051,153,3827,42,49,20461,1080,21541
"GREATER ACCRA","ANYAA/SOWUTUOM",53,27,23811,416,54414,12,4,78737,405,79142
"GREATER ACCRA","TROBU",64,50,24818,380,50916,17,6,76251,444,76695
"GREATER ACCRA","AMASAMAN",65,44,29730,284,25795,24,16,55958,686,56644
"GREATER ACCRA","DOME/KWABENYA",66,32,30099,482,62793,51,17,93540,490,94030
"GREATER ACCRA","MADINA",76,32,36658,495,37528,19,15,74823,432,75255
"GREATER ACCRA","AYAWASO EAST",37,19,22699,222,14729,31,7,37744,287,38031
"GREATER ACCRA","AYAWASO NORTH",20,19,22174,174,14860,24,3,37274,255,37529
"GREATER ACCRA","AYAWASO CENTRAL",38,31,27345,282,33699,16,7,61418,346,61764
"GREATER ACCRA","AYAWASO WEST WUOGON",92,36,24208,703,32493,18,13,57563,262,57825
"GREATER ACCRA","OKAIKWEI SOUTH",62,26,24623,439,39955,18,5,65128,329,65457
"GREATER ACCRA","OKAIKWEI CENTRAL",33,20,19353,478,26603,14,9,46510,206,46716
"GREATER ACCRA","OKAIKWEI NORTH",41,24,23077,194,28639,13,7,51995,257,52252
"GREATER ACCRA","ABLEKUMA NORTH",45,42,26658,487,54740,17,12,82001,365,82366
"GREATER ACCRA","ABLEKUMA CENTRAL",71,49,41532,482,46369,16,11,88530,478,89008
"GREATER ACCRA","ABLEKUMA SOUTH",40,30,31761,407,26306,16,9,58569,541,59110
"GREATER ACCRA","ABLEKUMA WEST",49,27,22528,404,37343,9,17,60377,363,60740
"GREATER ACCRA","ODODODIODIOO",53,39,37217,245,26585,13,12,64164,582,64746
"GREATER ACCRA","KORLE KLOTTEY",65,68,32088,426,34145,23,15,66830,505,67335
"GREATER ACCRA","DADEKOTOPON",98,34,42025,595,37119,18,15,79904,530,80434
"GREATER ACCRA","LEDZOKUKU",108,108,44406,566,43956,27,18,89189,683,89872
"GREATER ACCRA","KROWOR",50,41,30333,394,32916,22,6,63762,412,64174
"GREATER ACCRA","TEMA-EAST",56,36,26596,329,32864,16,12,59909,674,60583
"GREATER ACCRA","TEMA-CENTRAL",43,14,12713,324,28391,8,3,41496,129,41625
"GREATER ACCRA","TEMA-WEST",77,49,31117,603,43248,22,10,75126,365,75491
"GREATER ACCRA","KPONE-KATAMANSO",47,51,32043,344,26966,14,9,59474,504,59978
"GREATER ACCRA","ASHAIMAN",59,50,51756,437,36630,36,18,88986,580,89566
"GREATER ACCRA","ADENTAN",55,26,32108,479,34546,21,22,67257,397,67654
"GREATER ACCRA","SHAI-OSUDOKU",91,187,20724,270,8385,15,15,29687,658,30345
"GREATER ACCRA","NINGO PRAMPRAM",118,24,26116,306,10996,17,24,37601,868,38469
"GREATER ACCRA","SEGE",46,32,16426,173,7790,24,44,24535,737,25272
"GREATER ACCRA","ADA",93,271,18634,130,4329,22,8,23487,473,23960
"VOLTA","KETA",71,41,28956,131,1670,8,14,30891,415,31306
"VOLTA","ANLO",156,52,31574,373,2393,25,28,34601,789,35390
"VOLTA","KETU SOUTH",270,130,65279,365,7590,107,257,73998,2011,76009
"VOLTA","KETU NORTH",65,37,31068,217,9230,61,34,40712,931,41643
"VOLTA","AKATSI SOUTH",95,32,25596,407,3260,90,337,29817,742,30559
"VOLTA","AKATSI NORTH",34,17,11448,70,1222,18,15,12824,281,13105
"VOLTA","SOUTH TONGU",90,46,33140,198,3142,17,17,36650,461,37111
"VOLTA","CENTRAL TONGU",56,28,25375,189,2987,18,13,28666,371,29037
"VOLTA","NORTH TONGU",85,54,31155,142,2843,43,243,34565,818,35383
"VOLTA","ADAKLU",34,39,10465,63,972,8,4,11585,131,11716
"VOLTA","AGOTIME-ZIOPE",82,252,14974,85,1394,22,64,16873,311,17184
"VOLTA","HO CENTRAL",66,41,53117,257,5998,32,40,59551,522,60073
"VOLTA","HO WEST",82,45,28006,197,3256,25,11,31622,343,31965
"VOLTA","SOUTH DAYI",161,15,14867,519,1585,14,14,17175,297,17472
"VOLTA","KPANDO",52,125,18004,77,2631,6,4,20899,355,21254
"VOLTA","NORTH DAYI",75,99,14616,49,1525,13,33,16410,195,16605
"VOLTA","HOHOE",72,266,35117,192,6869,21,10,42547,578,43125
"VOLTA","AFADJATO SOUTH",38,117,20384,347,2235,10,5,23136,346,23482
"VOLTA","BUEM",71,36,16033,165,4789,19,13,21126,356,21482
"VOLTA","BIAKOYE",52,33,18210,142,6634,14,4,25089,445,25534
"VOLTA","AKAN",114,63,17978,119,8723,65,78,27140,637,27777
"VOLTA","KRACHI EAST",52,35,16556,130,12079,46,52,28950,908,29858
"VOLTA","KRACHI WEST",82,108,10516,67,8773,41,187,19774,386,20160
"VOLTA","KRACHI NCHUMURU",89,35,14041,109,8793,62,25,23154,671,23825
"VOLTA","NKWANTA SOUTH",379,196,22345,179,12239,123,561,36022,1241,37263
"VOLTA","NKWANTA NORTH",173,102,20578,304,12245,101,58,33561,895,34456
"EASTERN","ASUOGYAMAN",31,19,19925,261,19055,23,7,39321,462,39783
"EASTERN","LOWER MANYA KROBO",104,32,22335,290,16682,37,20,39500,605,40105
"EASTERN","UPPER MANYA KROBO",92,69,13180,123,10881,43,22,24410,606,25016
"EASTERN","YILO KROBO",88,31,24212,186,15006,36,13,39572,576,40148
"EASTERN","NEW JUABEN SOUTH",56,27,20156,355,40758,19,6,61377,317,61694
"EASTERN","NEW JUABEN NORTH",18,5,7808,147,21395,21,7,29401,169,29570
"EASTERN","AKROPONG",59,52,11640,254,30490,49,133,42677,596,43273
"EASTERN","OKERE",56,11,7191,93,15515,15,10,22891,250,23141
"EASTERN","AKUAPEM SOUTH",219,106,8306,122,17531,37,8,26329,589,26918
"EASTERN","NSAWAM/ADOAGYIRI",32,72,19637,242,26684,16,6,46689,820,47509
"EASTERN","SUHUM",73,153,17931,220,27745,29,17,46168,697,46865
"EASTERN","AYENSUANO",57,26,13987,138,19844,41,38,34131,768,34899
"EASTERN","LOWER WEST AKIM",79,174,16202,198,28148,25,9,44835,759,45594
"EASTERN","UPPER WEST AKIM",69,30,17754,139,15751,54,13,33810,743,34553
"EASTERN","AKIM ODA",12,3,6610,337,21836,10,4,28812,163,28975
"EASTERN","ASENE/AKROSO/MANSO",39,19,9349,185,21125,22,16,30755,378,31133
"EASTERN","AKIM SWEDRU",11,6,3758,210,11981,10,4,15980,187,16167
"EASTERN","ACHIASE",94,14,5530,117,15267,24,20,21066,394,21460
"EASTERN","OFOASE/AYIREBI",160,44,10960,1083,22936,70,51,35304,990,36294
"EASTERN","KADE",95,32,13416,232,33814,51,21,47661,526,48187
"EASTERN","AKWATIA",37,97,15925,138,21436,18,5,37656,526,38182
"EASTERN","ABIREM",52,51,10144,132,20869,18,13,31279,408,31687
"EASTERN","ABUAKWA SOUTH",25,18,6714,105,29194,27,11,36094,277,36371
"EASTERN","ABUAKWA NORTH",26,81,10004,117,19593,12,16,29849,431,30280
"EASTERN","ATIWA WEST",19,18,4183,68,17416,20,2,21726,225,21951
"EASTERN","ATIWA EAST",25,65,5320,76,16726,18,1,22231,275,22506
"EASTERN","FANTEAKWA SOUTH",33,41,5286,189,12897,9,5,18460,306,18766
"EASTERN","FANTEAKWA NORTH",39,20,9228,150,11906,27,2,21372,348,21720
"EASTERN","NKAWKAW",59,18,12012,203,39600,32,12,51936,461,52397
"EASTERN","MPRAESO",61,19,8230,133,23024,27,14,31508,391,31899
"EASTERN","ABETIFI",23,24,8854,94,22296,20,7,31318,367,31685
"EASTERN","AFRAM PLAINS NORTH",NA,NA,NA,NA,NA,NA,NA,0,NA,0
"EASTERN","AFRAM PLAINS SOUTH",85,29,13888,108,6839,39,16,21004,647,21651
"ASHANTI","NEW EDUBIASE",68,44,15981,252,16031,55,27,32458,587,33045
"ASHANTI","AKROFUOM",29,35,5643,127,11177,22,16,17049,294,17343
"ASHANTI","FOMENA",38,5,4027,181,16098,9,4,20362,290,20652
"ASHANTI","ADANSI ASOKWA",81,23,11128,194,18643,50,39,30158,529,30687
"ASHANTI","OBUASI WEST",26,18,11796,646,34660,14,9,47169,363,47532
"ASHANTI","OBUASI EAST",20,10,11400,438,27952,20,11,39851,275,40126
"ASHANTI","BEKWAI",27,99,5855,193,51769,22,12,57977,446,58423
"ASHANTI","BOSOME FREHO",47,119,4815,110,19593,31,37,24752,476,25228
"ASHANTI","ODOTOBIRI",46,16,4245,203,30433,33,141,35117,638,35755
"ASHANTI","MANSO NKWANTA",37,19,5535,124,32853,23,9,38600,352,38952
"ASHANTI","MANSO ADUBIA",104,24,5406,244,27672,33,6,33489,532,34021
"ASHANTI","ATWIMA NWABIAGYA SOUTH",30,17,9772,193,48172,19,10,58213,288,58501
"ASHANTI","ATWIMA NWABIAGYA NORTH",27,48,9154,156,38604,23,9,48021,343,48364
"ASHANTI","ATWIMA MPONUA",67,42,20312,438,35817,59,20,56755,990,57745
"ASHANTI","BOSOMTWE",30,28,7781,199,45866,25,11,53940,353,54293
